0,1,2,3,4,5,6,7,8,9,10,11
2.82,2.57,12.95,6.15,2.35,3.6,4.0,3.17,3.75,5.15,8.9,2.35
2.75,2.55,12.95,6.0,2.25,3.5,3.95,3.12,3.5,5.2,8.9,2.45
2.77,2.55,12.97,6.0,2.3,3.55,4.03,3.15,3.45,5.22,8.9,2.5
2.77,2.55,13.1,6.2,2.45,3.45,4.25,3.2,3.55,5.35,9.15,2.5
2.78,2.5,13.0,6.22,2.55,3.5,4.4,3.1,3.6,5.5,10.0,2.5
2.8,2.52,13.0,6.5,2.65,3.52,4.4,3.2,3.55,5.55,10.25,2.5
2.8,2.52,13.0,6.5,2.7,3.52,4.4,3.3,3.6,5.55,10.35,2.5
2.85,2.55,13.1,6.55,2.7,3.52,4.43,3.33,3.62,5.6,10.37,2.52
2.87,2.5,13.15,6.55,2.85,3.55,4.5,3.35,3.65,5.65,10.4,2.5
2.87,2.48,13.1,6.6,2.95,3.55,4.43,3.3,3.62,5.75,10.5,2.5
2.88,2.49,13.25,6.62,3.05,3.55,4.45,3.3,3.65,5.85,10.5,2.6
2.9,2.55,14.0,6.65,3.2,3.6,4.55,3.35,3.7,5.9,10.5,2.6
2.9,2.55,15.0,6.75,3.0,3.65,4.5,3.4,3.75,5.95,10.5,2.6
2.9,2.55,15.2,6.85,2.9,3.7,4.5,3.45,3.8,6.0,10.5,2.7
2.9,2.55,15.4,6.87,2.95,3.65,4.5,3.4,3.82,6.2,10.5,2.75
2.9,2.55,16.0,6.95,3.0,3.75,5.25,3.5,3.9,7.0,10.5,2.75
2.9,2.57,16.0,7.0,3.1,3.82,5.55,3.55,3.95,7.5,10.4,2.75
2.9,2.55,16.5,6.85,3.0,3.85,5.1,3.5,3.96,7.55,10.4,2.8
2.9,2.58,16.55,6.7,3.0,3.9,5.25,3.6,4.05,7.7,10.0,2.85
2.92,2.6,17.0,6.75,3.09,3.95,5.65,3.65,4.1,8.0,10.0,2.85
5.0,4.0,22.0,6.85,3.25,4.0,6.0,3.8,4.5,8.5,10.0,2.85
5.2,4.0,25.0,6.92,3.42,4.1,6.45,3.7,4.6,8.5,10.0,2.85
5.0,4.0,26.0,7.1,3.53,4.25,6.75,4.0,4.7,8.0,10.0,2.85
5.2,3.92,25.33,7.14,3.78,4.19,6.78,4.19,4.92,6.91,10.0,2.85
5.62,3.92,25.0,7.31,4.25,4.34,6.72,4.22,4.95,6.8,10.0,2.85
5.5,3.99,25.13,7.49,4.77,4.44,6.83,4.25,4.98,6.8,10.19,2.85
5.23,3.87,26.19,7.64,4.77,4.47,6.87,4.24,4.98,6.82,10.26,2.85
5.2,3.81,26.76,7.74,4.77,4.42,6.84,4.23,5.0,6.83,10.0,2.85
5.19,3.78,27.75,7.83,4.77,4.48,6.87,4.25,5.0,6.88,10.0,2.85
5.19,3.77,29.18,7.91,4.77,4.48,6.82,4.25,5.01,6.93,10.0,2.85
5.14,3.73,29.32,8.36,4.77,4.44,6.87,4.19,5.04,6.87,9.99,2.83
5.1,3.71,30.0,8.58,4.77,4.43,6.89,4.1,5.2,6.89,10.0,2.85
4.97,3.71,30.0,8.7,4.77,4.45,6.83,4.11,5.23,6.89,10.0,2.85
4.82,3.51,30.71,8.79,4.77,4.43,6.73,4.16,5.25,6.9,10.0,2.85
4.77,3.44,31.0,8.82,4.77,4.43,6.71,4.19,5.25,6.96,10.0,2.85
4.64,3.27,31.65,8.91,4.77,4.45,6.67,4.24,5.25,6.98,10.0,2.85
4.39,3.01,32.0,8.98,4.77,4.49,6.66,4.29,5.29,7.0,10.0,2.89
4.32,2.99,32.0,9.03,4.77,4.49,6.67,4.15,5.33,7.0,10.0,3.0
4.21,2.94,31.0,9.09,4.77,4.55,6.65,4.21,5.25,7.25,10.5,3.0
4.42,2.97,30.05,9.08,4.77,4.55,6.66,4.25,5.23,7.34,10.5,3.3
4.49,2.98,30.0,9.1,4.77,4.56,6.69,4.25,5.24,7.35,10.8,3.35
4.46,2.98,30.0,9.1,4.77,4.63,6.74,4.26,5.27,7.35,10.84,3.35
4.48,2.98,30.0,9.12,4.77,4.65,6.76,4.29,5.49,7.35,10.85,3.35
4.54,2.98,30.0,9.16,4.77,4.66,6.77,4.31,5.68,7.35,10.85,4.1
4.56,2.95,30.0,9.16,4.77,4.71,6.77,4.31,7.14,7.42,10.85,5.51
4.6,2.95,30.0,9.17,4.77,4.74,6.78,4.3,7.38,7.4,10.89,5.54
4.61,2.96,30.0,9.18,4.77,4.75,6.78,4.31,7.5,7.42,11.0,5.54
4.65,3.0,30.0,9.21,4.77,4.75,6.76,4.35,7.5,7.5,11.0,5.5
4.68,3.0,30.0,9.23,4.77,4.78,6.79,4.35,7.44,7.55,11.0,5.5
4.72,3.0,28.33,9.25,4.77,4.83,6.82,4.35,7.4,7.56,11.0,5.5
4.71,3.0,28.0,9.25,4.77,4.85,6.84,4.35,7.35,7.6,11.0,5.5
4.82,3.03,28.0,9.23,4.77,4.88,6.81,4.38,7.34,7.55,11.0,5.5
4.94,3.07,28.0,9.22,4.77,4.93,6.84,4.43,7.19,7.5,11.0,5.49
5.05,3.06,28.0,9.22,4.77,5.06,7.06,4.43,7.02,7.55,11.0,5.49
5.1,3.05,28.0,9.22,4.77,5.1,7.2,4.43,7.0,7.55,11.0,5.49
5.1,3.05,28.0,9.23,4.77,5.2,7.22,4.45,7.0,7.55,11.0,5.49
5.1,3.05,28.0,9.23,4.77,5.13,7.22,4.45,7.0,7.55,11.0,5.49
5.14,3.09,28.0,9.23,4.77,5.12,7.27,4.45,6.85,7.51,11.0,5.49
5.15,3.1,28.0,9.23,4.77,5.12,7.28,4.45,6.8,7.52,11.0,5.49
5.15,3.1,28.0,9.23,4.77,5.12,7.24,4.45,6.8,7.55,11.0,5.49
