233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
2.8,2.53,2.19,3.44,3.77,5.24,5.91,14.36,3.82,4.94,2.88,2.39,3.69,4.81,1.39,2.55,4.04,4.16,2.78,2.78,3.59,11.38,0.74,6.66
2.86,2.55,2.17,3.72,3.69,5.38,5.86,14.74,3.87,4.91,2.87,2.64,6.07,5.85,1.24,2.01,3.91,3.68,2.6,2.6,3.59,11.4,0.72,5.51
3.0,2.49,2.12,4.87,3.53,5.54,6.06,15.8,4.08,4.88,2.74,3.28,7.73,7.15,1.13,1.71,4.0,3.49,2.49,2.49,3.54,11.4,0.69,5.59
2.92,2.47,2.11,5.73,3.6,5.6,6.17,15.35,3.97,4.99,2.83,3.31,7.57,6.85,1.17,1.62,4.05,3.43,2.64,2.64,3.64,11.48,0.74,6.47
2.98,2.48,2.13,5.49,3.66,6.0,6.48,15.22,4.22,4.97,2.81,3.06,6.06,5.98,1.21,1.77,4.01,3.45,2.56,2.56,3.64,11.5,0.77,7.28
3.05,2.63,2.14,4.86,3.72,6.38,6.92,15.24,4.12,4.93,2.83,2.92,4.63,5.44,1.2,1.77,3.95,3.43,2.71,2.71,3.67,11.5,0.77,6.66
3.04,2.58,2.05,4.98,3.58,6.36,6.94,15.3,4.43,4.94,2.91,2.75,4.13,4.54,1.2,1.7,3.94,3.4,2.62,2.62,3.52,11.5,0.71,6.6
3.21,2.44,1.99,4.79,3.24,6.25,6.9,15.1,5.06,4.89,2.75,2.82,3.93,4.07,1.18,1.68,3.86,3.53,2.47,2.47,3.23,11.5,0.66,6.14
3.04,2.5,2.0,4.78,3.31,6.11,6.86,14.97,5.03,4.91,2.87,2.83,3.8,4.02,1.2,1.76,3.87,3.51,2.39,2.39,3.53,11.5,0.75,4.48
3.03,2.51,1.99,3.71,3.22,6.03,6.64,14.48,4.03,4.89,2.83,2.87,3.8,4.13,1.15,1.77,3.88,3.6,2.43,2.43,3.75,11.5,0.76,3.31
2.91,2.47,2.08,3.02,3.34,6.12,6.77,14.63,3.34,4.96,2.87,3.0,4.08,4.02,1.18,1.8,3.96,3.58,2.47,2.47,3.83,11.52,0.82,3.01
2.98,2.55,2.19,3.47,3.22,6.19,7.09,14.8,3.48,4.93,2.99,3.37,5.07,4.29,1.07,1.8,4.05,3.83,2.54,2.54,4.02,11.61,0.85,3.26
2.98,2.68,2.26,3.93,3.39,6.59,7.38,15.44,3.44,4.98,3.2,3.82,5.47,4.18,1.21,1.85,4.12,3.67,2.57,2.57,4.11,11.7,0.81,4.28
2.98,2.6,2.37,3.51,3.41,6.89,7.47,15.81,2.73,5.38,3.16,4.54,5.09,4.25,1.33,1.86,4.04,3.57,2.51,2.51,4.2,11.7,0.74,5.33
2.95,2.57,2.44,3.26,3.41,6.79,7.22,16.31,2.57,5.0,3.02,4.82,5.02,4.59,1.34,1.85,4.08,3.48,2.65,2.65,4.09,11.7,0.76,5.49
2.92,2.57,2.52,4.27,3.63,6.91,7.46,16.7,3.3,5.35,3.22,4.89,5.88,5.13,1.52,1.95,4.09,3.71,2.62,2.62,4.16,11.72,0.88,5.8
3.24,2.57,2.68,6.38,3.71,6.73,7.02,17.33,6.78,5.72,3.39,5.36,7.01,5.95,1.62,1.9,4.27,3.84,2.64,2.64,4.41,11.77,0.94,6.66
3.43,2.97,2.69,6.91,3.81,6.79,7.3,17.62,6.78,6.44,3.5,6.19,7.82,6.96,1.47,1.67,4.46,4.31,2.73,2.73,4.58,11.9,0.87,6.34
3.6,3.3,2.72,6.29,3.81,6.68,7.38,16.89,6.53,6.56,3.6,6.03,6.89,6.74,1.36,1.8,4.77,4.73,2.68,2.68,4.67,11.9,0.88,5.09
3.68,3.3,2.55,4.21,3.89,6.76,7.44,17.14,4.59,6.5,3.58,5.57,6.13,6.26,1.31,1.9,4.9,4.74,2.96,2.96,4.96,11.9,0.88,4.43
3.98,3.3,2.63,3.37,3.88,6.73,7.54,16.96,3.88,6.49,3.61,5.52,6.21,6.51,1.44,2.09,5.06,5.07,2.82,2.82,5.94,11.9,0.93,4.53
4.46,3.3,2.56,3.22,3.93,7.11,7.94,17.78,3.07,6.39,3.65,5.78,6.36,7.03,1.53,2.06,5.37,5.34,2.58,2.58,7.39,11.9,0.89,4.14
4.86,3.3,2.59,4.5,4.08,7.93,8.98,18.0,3.18,6.73,3.82,5.74,6.49,7.36,1.53,2.3,5.57,4.85,2.65,2.65,8.3,11.65,0.95,5.4
5.09,3.3,2.67,5.64,4.18,8.32,9.18,19.32,3.38,6.16,3.98,5.71,6.43,7.18,1.51,2.5,5.59,4.85,2.65,2.58,8.19,11.58,0.96,6.08
4.96,3.3,2.81,6.51,4.2,8.49,9.61,21.21,4.3,5.99,3.94,6.42,6.83,8.04,1.57,2.5,5.38,4.76,2.65,2.52,8.08,11.5,0.97,5.71
5.14,3.3,2.91,5.45,4.14,8.65,9.82,21.3,4.6,5.84,3.76,6.86,7.06,8.47,1.72,2.48,5.31,4.75,2.65,2.66,8.13,11.5,0.94,5.63
4.93,3.3,2.91,4.96,4.32,8.74,9.85,22.17,4.59,5.39,3.9,6.99,6.93,8.49,1.76,2.51,5.26,4.68,2.65,2.66,7.87,11.6,0.96,4.81
4.94,3.3,2.93,4.8,4.21,8.77,9.7,23.39,4.62,5.09,3.86,7.27,6.95,8.31,1.87,2.72,5.15,4.39,2.65,2.7,8.03,11.6,0.93,4.5
5.08,3.3,2.92,4.63,4.15,8.75,9.72,23.61,4.59,5.13,4.03,7.83,7.42,8.62,1.93,2.85,5.39,4.47,2.65,2.77,8.21,11.6,0.99,5.17
4.77,3.3,3.04,4.64,4.27,8.6,9.7,23.38,3.95,5.16,3.87,7.7,7.36,8.31,2.07,2.92,5.39,4.73,2.65,2.68,8.44,11.6,1.01,4.72
4.51,3.3,3.38,4.08,4.57,8.08,9.63,22.67,3.37,5.09,4.06,7.46,6.57,7.9,2.15,2.95,5.51,4.87,2.65,2.88,8.41,11.74,1.07,5.13
4.43,3.3,3.53,3.93,4.66,8.12,9.74,21.95,3.24,5.17,4.16,7.25,6.5,7.47,2.37,3.1,5.78,5.09,2.65,2.94,8.21,11.8,1.02,5.31
4.49,3.3,3.47,4.09,5.06,9.07,10.29,21.3,2.87,5.42,4.32,6.83,6.42,7.32,2.26,2.96,5.68,5.13,2.65,3.09,8.4,11.8,1.04,5.46
4.52,3.3,3.77,4.31,5.19,9.64,10.86,19.91,2.71,5.48,4.34,6.94,6.59,6.96,2.18,2.95,5.66,5.21,2.65,2.95,8.46,11.8,1.04,7.07
4.79,3.3,3.87,4.9,5.63,9.99,10.87,19.38,3.26,5.48,4.21,6.71,6.63,6.81,2.31,3.14,5.41,5.07,2.65,2.9,8.36,11.85,0.99,8.19
4.7,3.3,3.81,5.25,6.32,9.76,11.13,18.79,3.99,5.52,4.09,6.31,6.25,6.55,2.31,3.13,5.27,4.79,2.65,2.77,8.55,11.9,1.05,8.09
4.26,3.3,3.87,4.53,6.98,9.2,10.62,17.6,4.46,5.42,4.07,5.9,6.07,6.68,2.16,3.0,5.3,4.46,2.65,2.95,8.83,12.08,1.09,8.05
4.0,3.3,4.05,4.69,7.27,9.04,10.61,17.93,4.39,5.24,4.19,6.33,6.47,6.84,2.11,3.19,5.36,4.57,2.65,3.08,8.73,12.52,1.06,8.1
3.89,3.3,4.1,6.24,7.56,9.2,10.82,17.53,5.38,5.31,4.97,6.53,6.96,7.44,2.1,3.76,5.65,4.73,2.65,3.18,9.67,13.46,1.1,9.64
4.1,3.3,4.2,7.28,7.59,9.73,10.98,15.89,5.68,5.56,5.52,6.64,7.87,8.28,2.13,4.1,6.11,5.35,2.65,3.29,10.8,13.85,1.18,12.65
4.16,3.3,4.22,8.29,7.72,9.66,10.82,17.94,6.71,5.57,5.57,6.72,8.14,8.16,2.22,4.22,6.33,5.63,2.65,3.2,10.72,13.99,1.15,10.81
4.22,3.3,4.08,7.6,7.55,9.49,10.81,18.43,6.17,5.08,5.87,6.57,8.42,7.37,2.31,3.9,6.84,6.19,2.65,3.09,10.51,14.64,1.08,9.4
4.15,3.3,4.33,7.01,7.67,10.01,11.02,18.77,5.39,4.69,5.76,6.29,8.09,7.08,2.17,3.2,7.41,6.51,2.65,3.32,10.29,14.3,1.07,7.13
4.28,3.3,4.19,5.56,7.26,10.05,11.42,19.89,5.69,5.47,6.5,5.67,8.15,6.72,2.2,3.47,8.28,8.17,2.65,3.81,9.1,14.66,1.5,7.2
3.94,3.3,4.09,5.21,6.86,12.16,11.22,21.79,6.52,5.84,6.54,5.55,7.48,6.54,2.09,3.56,7.78,7.7,2.65,3.88,8.59,13.57,1.78,6.45
4.22,3.3,4.02,6.3,7.14,10.47,11.96,22.81,7.14,6.33,6.58,5.19,7.7,6.24,2.2,3.41,7.9,6.86,2.65,4.04,8.19,15.09,1.99,6.64
4.15,3.3,4.09,7.06,7.37,10.24,11.75,21.32,8.54,6.98,6.47,4.91,7.37,6.19,2.12,3.41,7.4,6.46,2.65,4.0,8.35,14.42,1.92,7.34
4.14,3.3,4.03,6.85,6.88,10.03,11.92,17.44,10.32,7.9,6.29,4.55,8.22,6.93,2.04,3.29,7.55,6.49,2.65,4.17,8.68,13.53,1.99,9.02
4.74,3.3,4.1,7.94,6.85,10.16,11.39,18.32,9.76,7.98,6.16,4.46,8.4,7.19,2.15,3.12,7.15,6.21,2.65,4.12,8.73,14.33,1.95,8.36
4.74,3.3,3.95,7.29,7.33,9.62,11.58,19.52,7.17,8.02,6.24,4.98,9.23,7.88,2.11,3.15,7.21,5.81,2.65,4.1,8.8,15.12,1.87,9.03
4.85,3.3,4.48,6.87,6.7,9.13,11.64,17.15,6.47,8.35,6.35,5.37,9.4,8.35,2.19,2.91,7.23,6.12,2.65,4.23,8.68,15.0,1.94,8.72
4.82,3.3,3.95,6.22,6.18,9.0,11.62,17.41,5.91,8.15,5.88,5.65,10.21,8.73,2.11,3.02,7.2,6.9,2.65,3.85,7.72,14.76,1.99,7.94
4.93,3.3,3.92,6.0,7.02,8.58,11.53,17.97,5.74,7.97,5.9,5.58,10.04,8.4,2.16,3.01,7.05,6.91,2.65,3.9,7.37,14.55,1.95,8.89
4.76,3.3,4.16,5.84,6.79,8.48,11.04,19.36,5.76,7.46,5.87,5.51,8.93,7.82,2.08,3.4,6.95,6.79,2.65,4.19,6.64,14.06,1.98,9.45
4.94,3.3,4.16,6.34,7.17,8.53,11.47,17.46,5.95,8.97,5.77,5.52,8.05,8.02,2.21,3.45,7.34,6.56,2.65,4.0,6.44,14.85,2.19,10.1
4.88,3.3,4.11,6.27,6.99,8.39,11.81,17.31,5.45,8.13,5.66,5.35,6.44,7.67,2.06,3.82,7.03,6.2,2.65,4.39,6.33,14.65,2.22,9.1
4.97,3.3,4.06,5.16,7.34,8.24,11.61,15.65,5.19,6.82,5.36,5.15,6.13,7.46,1.99,3.52,6.76,6.17,2.65,4.03,6.06,14.82,2.18,9.15
4.98,3.3,3.91,4.42,7.03,7.86,11.67,15.26,4.78,6.3,5.13,5.08,5.2,6.87,2.08,3.45,6.31,5.86,2.65,3.79,6.09,15.07,1.82,9.55
5.28,3.3,4.05,4.42,6.88,7.86,11.67,15.26,4.78,6.49,4.9,5.54,5.72,7.33,2.08,3.37,6.73,5.64,2.65,4.08,6.13,15.99,1.75,9.55
5.76,3.3,4.23,4.42,6.94,7.86,11.67,15.26,4.78,6.98,4.78,5.84,7.04,9.1,2.03,3.46,6.23,5.69,2.65,4.06,6.59,16.6,1.75,9.55
