317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344
2.94,3.93,8.99,2.91,4.09,16.09,15.89,8.05,8.98,1.98,3.99,5.29,5.19,2.85,3.45,5.02,5.03,3.35,3.62,7.98,2.38,3.28,3.24,3.28,2.99,8.99,1.92,1.97
3.47,4.25,8.48,2.98,6.09,12.98,17.64,8.89,13.59,2.79,3.71,4.38,5.19,3.09,4.23,5.42,4.49,3.35,2.75,8.72,2.79,5.57,6.35,5.57,3.01,8.99,2.74,2.98
3.09,4.15,9.75,4.94,6.02,12.98,16.89,8.69,9.44,2.95,3.99,4.43,4.78,2.74,3.42,10.67,7.57,3.35,3.93,8.74,2.82,5.89,6.35,5.89,3.24,8.29,1.82,3.99
3.07,3.52,8.44,4.99,5.35,12.98,15.55,8.69,7.49,4.48,4.14,5.19,5.59,2.89,3.29,8.75,6.07,3.35,3.28,9.93,2.82,5.19,6.0,5.19,3.22,8.29,1.82,8.44
3.19,3.69,8.98,3.89,5.98,13.9,14.94,8.69,9.98,2.98,3.79,5.19,4.99,2.99,3.79,7.99,5.69,3.04,2.99,9.29,2.65,6.29,6.58,6.29,2.89,8.99,2.14,4.49
3.12,3.69,8.54,4.99,6.19,13.9,15.39,6.99,9.89,2.89,3.99,5.19,5.59,3.54,3.59,6.92,4.82,1.49,3.09,9.79,2.55,4.99,9.38,4.99,3.16,8.99,1.89,3.98
2.79,3.69,8.54,3.98,4.98,12.9,18.95,8.69,10.98,4.98,4.79,5.19,5.59,2.98,3.58,5.98,4.98,2.88,2.89,9.39,2.29,5.89,10.36,5.89,2.69,8.99,1.59,5.69
3.29,3.59,8.54,3.98,5.12,10.97,17.29,8.99,10.98,5.49,4.79,5.19,4.89,2.98,3.49,4.99,4.99,2.88,2.75,8.99,2.98,6.29,10.36,6.29,2.88,8.99,2.14,1.89
3.99,3.59,8.29,1.89,4.98,12.98,14.94,8.98,9.98,2.98,4.99,5.59,5.59,2.99,3.49,4.49,4.49,1.89,2.29,8.49,2.48,5.69,7.98,5.69,3.09,8.99,2.14,1.89
2.99,3.99,8.89,3.49,5.28,18.89,17.19,9.19,8.98,2.98,4.99,5.59,5.89,3.59,3.79,4.48,4.48,3.04,2.29,9.19,2.39,4.99,5.68,4.99,3.29,8.99,2.14,1.98
3.59,4.04,8.89,1.58,5.2,13.98,17.29,8.39,10.98,3.49,4.49,5.59,5.89,3.29,3.59,4.79,4.59,3.04,4.74,9.97,2.35,6.09,6.09,6.09,3.29,9.98,2.14,1.58
3.19,3.74,9.98,1.39,4.95,20.98,17.29,10.89,9.98,1.39,5.29,5.89,5.89,3.29,3.69,5.99,4.99,3.04,2.79,9.59,2.39,5.39,6.09,5.39,3.39,9.9,2.19,1.98
2.98,3.39,8.99,2.98,5.39,20.98,21.99,13.74,13.98,1.84,3.99,5.78,5.69,2.99,3.49,5.49,5.49,2.94,2.59,11.19,2.59,2.59,5.48,2.59,3.49,8.94,2.41,3.79
3.48,3.89,8.99,2.59,5.98,16.98,20.99,10.29,11.9,1.98,4.89,5.78,5.69,2.79,3.59,5.59,4.99,2.94,2.79,11.49,2.09,3.09,4.39,3.09,3.59,8.99,1.98,3.59
3.19,3.89,9.29,1.99,4.46,16.9,18.99,9.59,10.98,2.18,3.95,4.99,5.29,2.52,2.71,5.36,5.42,2.04,2.89,8.02,2.99,2.93,5.31,2.93,3.89,5.99,2.14,2.98
3.19,4.0,9.59,3.49,4.44,16.99,18.48,8.89,10.9,2.96,3.89,4.19,4.98,3.02,3.16,5.12,5.31,2.29,3.13,8.16,3.2,2.57,5.38,2.57,3.46,7.66,2.16,2.99
3.26,4.29,9.69,3.85,4.99,15.98,18.69,7.82,8.99,5.98,3.74,4.89,4.89,3.04,3.42,6.99,5.99,2.65,2.54,7.55,2.59,2.49,5.89,2.49,3.25,8.49,2.19,2.79
3.29,4.29,9.88,4.49,4.24,16.9,18.69,7.19,8.9,4.98,3.99,4.89,5.14,2.99,3.19,8.49,6.99,2.44,2.66,8.84,2.89,2.59,5.89,2.59,3.55,7.88,1.99,3.2
3.39,4.45,9.98,2.54,4.49,18.9,19.98,7.59,9.98,5.45,3.79,4.99,5.39,2.79,3.15,8.99,7.32,2.49,2.82,8.99,2.99,2.59,5.48,2.59,3.73,9.31,2.31,2.62
3.79,3.99,9.98,2.39,4.99,16.9,21.9,7.89,11.98,4.24,3.89,4.99,5.19,2.79,3.29,6.82,6.24,3.19,3.04,8.99,3.06,2.69,5.89,2.69,4.19,9.84,2.94,2.88
3.89,4.19,9.99,2.99,5.52,17.98,23.99,8.49,14.98,3.98,3.79,4.73,5.49,2.98,3.14,5.89,6.49,2.79,2.99,11.9,3.57,2.89,5.78,2.89,4.99,8.99,2.79,3.98
5.99,4.69,10.29,2.29,4.49,20.9,21.99,8.99,14.99,3.6,4.99,5.49,6.08,2.79,3.19,5.99,6.14,2.49,3.04,11.99,3.59,2.89,5.78,2.89,5.51,8.89,2.44,4.99
5.99,4.78,11.18,2.99,4.99,21.93,21.99,9.69,17.98,2.19,4.69,4.99,5.55,2.99,3.29,7.33,6.99,2.99,4.09,12.09,3.59,2.89,6.18,2.89,6.52,9.98,2.44,5.24
5.51,4.5,11.89,3.93,4.59,28.43,22.55,9.71,19.49,2.44,3.86,3.87,4.23,2.62,3.7,6.58,6.81,2.7,3.88,11.09,3.44,2.89,5.19,2.63,7.3,8.77,1.6,4.0
5.92,4.59,12.14,4.15,5.21,25.9,23.4,11.79,16.42,2.99,3.7,3.91,4.06,2.62,4.14,6.66,6.85,2.53,3.61,10.89,3.42,2.89,4.54,1.96,6.89,8.29,1.59,3.94
5.62,5.14,12.1,3.25,4.73,27.97,26.49,11.37,13.69,3.77,3.69,3.89,4.09,2.82,4.14,6.73,7.12,2.55,3.86,11.37,3.33,2.89,4.76,1.86,6.32,8.71,1.55,2.7
5.25,5.16,13.09,2.7,5.02,23.88,23.73,11.31,15.69,3.48,4.24,4.19,4.69,2.78,4.44,7.06,7.51,2.8,4.07,10.7,3.18,2.89,4.96,2.22,6.76,8.88,1.48,2.13
4.77,5.11,12.85,2.5,4.73,25.29,22.67,9.38,14.07,2.95,3.89,3.88,4.21,3.0,3.55,7.08,7.49,2.69,3.99,10.12,3.04,2.89,4.77,2.06,6.49,9.95,1.73,2.4
4.87,5.54,13.37,2.02,5.17,28.59,24.7,9.89,14.23,3.15,4.33,4.54,4.54,2.77,3.66,7.24,7.74,3.16,3.85,10.33,3.33,2.89,5.68,2.63,7.04,9.93,1.6,3.04
4.75,5.2,13.16,1.94,4.89,27.24,24.76,11.69,12.25,2.79,3.78,3.9,4.0,2.79,4.0,6.7,6.75,2.98,4.33,9.9,3.25,2.89,5.64,2.69,6.71,9.23,1.6,2.91
4.52,5.84,13.97,1.82,5.06,27.68,23.26,12.26,15.1,1.89,3.58,4.04,4.15,2.94,3.68,6.73,6.78,2.89,4.29,10.99,3.52,2.89,5.38,2.5,6.9,9.49,1.56,3.86
5.22,6.59,16.13,2.2,5.39,31.47,25.61,12.69,13.49,0.98,3.84,4.27,4.47,3.12,3.39,7.1,6.93,3.21,5.24,11.32,3.69,2.89,5.58,2.19,7.19,9.98,1.79,3.58
5.49,6.81,16.97,2.65,5.88,27.88,26.98,12.83,12.39,0.97,4.08,4.03,4.36,3.18,3.51,7.35,7.01,3.3,4.68,12.03,3.74,2.89,5.84,2.32,7.46,9.98,1.95,4.81
5.55,7.06,17.94,3.72,6.53,28.05,27.11,12.69,13.18,1.36,4.18,4.88,5.12,3.05,3.4,6.91,6.87,3.59,5.67,12.21,3.72,2.89,6.01,2.81,7.67,9.98,2.01,6.55
5.12,7.28,18.46,4.44,6.92,26.6,26.23,13.19,14.6,2.07,4.44,5.49,5.89,2.99,3.51,6.85,6.86,3.96,6.04,12.43,3.95,2.89,7.31,3.33,7.82,9.98,1.96,8.94
5.58,7.66,18.9,1.85,7.51,24.94,28.0,11.86,13.03,2.95,4.9,5.44,5.84,3.25,3.94,6.84,6.68,3.49,6.06,12.85,3.68,2.89,7.56,3.67,8.24,9.98,1.91,6.68
4.97,7.89,18.67,2.87,8.72,28.63,28.57,11.75,12.23,3.06,4.57,5.38,5.71,3.33,4.16,6.59,6.49,3.9,6.04,12.67,3.56,2.89,7.51,3.29,8.05,9.98,1.84,6.04
4.47,8.18,19.02,4.25,8.37,33.11,28.04,13.57,11.39,3.59,4.23,6.14,5.23,3.61,4.72,7.11,7.27,4.32,5.98,13.06,3.54,2.89,9.62,3.68,8.26,9.98,2.18,5.65
4.68,8.13,18.68,4.17,8.33,28.45,29.11,11.02,10.22,3.19,3.81,6.62,6.58,3.55,4.47,6.54,6.59,4.79,6.47,13.25,3.7,2.89,7.93,3.18,8.66,10.59,2.02,9.16
5.08,8.17,19.62,6.22,9.15,29.8,27.07,11.25,11.64,3.15,5.58,6.53,6.95,3.66,4.52,7.29,7.08,5.27,6.39,13.93,4.45,2.89,7.66,3.42,9.18,13.58,1.92,10.73
4.82,8.59,20.2,5.15,10.05,29.85,26.64,13.8,13.09,6.08,5.49,6.74,7.15,4.06,4.85,7.59,6.8,4.65,6.87,14.0,4.5,2.89,7.95,3.6,9.74,10.77,2.09,6.41
4.75,8.35,20.45,5.26,10.02,32.65,26.28,14.4,15.89,3.92,5.24,7.66,7.71,4.36,5.01,9.7,6.7,4.79,6.62,15.17,5.37,2.89,8.53,3.58,9.9,11.61,2.1,7.01
4.94,8.05,20.31,3.52,10.0,33.38,25.8,14.39,15.38,4.18,5.22,7.62,7.84,4.1,5.32,9.49,5.97,5.55,6.79,18.9,6.67,2.89,8.53,3.81,9.63,10.72,2.12,6.01
5.04,7.88,19.63,3.31,10.05,28.9,25.13,14.65,15.53,5.47,4.78,7.49,7.97,3.91,4.85,8.84,6.49,5.24,6.59,19.47,6.18,2.89,9.46,3.52,8.94,10.28,2.14,6.1
5.26,8.15,18.62,4.46,9.34,29.68,26.48,14.41,16.4,5.55,4.9,7.47,7.72,4.26,5.15,8.92,6.31,5.34,6.59,19.79,5.18,2.89,9.7,3.59,8.14,10.28,2.46,4.96
5.55,8.18,19.58,5.6,9.59,29.13,26.5,14.41,17.76,6.47,5.28,7.12,7.32,4.59,5.41,8.54,6.34,4.82,6.54,19.12,5.41,2.89,9.88,3.94,7.74,9.25,2.41,6.08
5.22,8.49,19.87,5.24,9.62,33.08,28.63,14.98,17.01,8.61,5.59,7.38,8.08,4.14,5.74,8.07,6.46,4.55,6.63,18.56,5.11,2.89,9.58,3.86,7.64,7.2,2.22,7.16
6.1,7.78,20.06,5.26,10.54,27.37,33.8,13.89,17.01,7.95,5.36,8.2,9.09,4.72,5.57,8.47,6.86,5.25,6.66,18.84,4.55,2.89,9.53,4.23,8.4,7.2,2.55,8.88
6.04,7.61,19.76,5.9,10.1,27.07,33.88,15.6,17.25,5.65,5.17,8.7,9.53,4.44,5.47,9.08,7.21,5.25,6.6,18.15,4.85,2.89,9.33,4.27,7.93,7.2,2.66,8.65
5.66,7.0,17.92,3.63,9.56,28.52,33.64,15.14,17.08,4.08,5.17,8.23,10.68,4.49,5.08,9.11,6.82,4.85,6.8,17.53,4.69,2.89,8.88,4.0,7.78,8.06,2.65,4.67
6.9,7.58,18.9,2.73,10.23,32.73,31.52,14.93,15.95,3.37,5.17,8.93,9.77,4.71,5.5,9.74,7.35,5.63,6.99,17.44,4.91,2.89,10.09,4.37,7.25,8.29,2.48,6.9
6.38,7.58,18.03,4.43,10.2,34.38,32.8,15.03,16.45,3.7,5.17,9.59,9.6,4.28,5.61,10.76,7.76,6.0,8.45,16.94,5.31,2.89,10.27,4.52,6.59,8.2,2.68,7.65
6.68,7.62,19.19,3.52,10.03,32.85,34.5,15.62,16.06,3.32,5.17,10.29,10.71,4.07,5.85,10.91,7.45,5.93,7.68,17.24,5.11,2.89,9.95,4.33,6.52,8.2,2.95,8.99
5.87,7.6,20.49,4.13,9.98,30.77,32.53,15.4,15.81,3.73,5.17,9.92,10.08,3.97,5.41,9.24,6.85,5.09,5.6,15.64,4.71,2.89,8.75,4.21,5.96,8.2,2.8,7.95
5.24,8.09,20.24,3.47,9.98,24.75,30.95,12.95,12.72,3.24,5.17,8.64,8.25,3.93,4.91,7.92,6.33,4.13,4.58,12.76,4.64,2.89,8.11,3.85,5.41,9.63,2.67,8.41
5.26,7.82,18.49,2.68,9.98,24.97,31.65,12.04,13.06,2.87,5.17,8.77,9.13,3.83,4.55,6.81,5.92,4.6,4.44,12.92,4.42,2.89,8.05,3.72,5.22,10.92,2.58,7.38
5.63,7.79,18.29,2.53,9.98,25.35,31.29,12.04,12.86,3.41,5.17,8.92,9.58,3.73,4.41,5.92,5.63,5.25,4.85,13.49,3.73,2.89,7.24,3.24,5.25,11.55,2.35,7.66
6.01,7.25,17.73,4.06,9.98,24.7,30.28,12.04,15.49,2.98,5.17,8.74,8.42,3.69,4.04,5.34,5.75,4.89,5.12,13.38,3.73,2.89,6.65,3.21,5.05,12.77,2.09,6.21
5.74,7.25,17.83,4.06,9.98,26.47,27.93,12.04,15.49,2.98,5.17,8.84,9.4,3.69,3.64,5.33,5.92,4.79,4.84,13.65,3.81,2.89,6.79,3.14,4.98,12.29,2.21,6.21
5.76,7.25,18.64,4.06,9.98,26.12,27.49,12.04,15.49,2.98,5.17,8.93,8.91,3.69,3.38,6.39,6.78,4.82,4.62,13.38,3.64,2.89,6.98,3.18,5.49,13.18,2.08,6.21
