412,413,414,415,416,417,418,419,420,421,422,423,424,425
2.46,2.19,10.19,6.45,15.22,5.21,3.58,5.02,100.0,4.34,6.27,0.85,3.87,6.5
2.67,2.32,10.08,6.35,15.0,5.0,3.54,7.31,100.0,3.96,6.22,0.94,3.94,6.5
2.71,2.37,10.19,6.49,15.0,5.07,3.44,8.3,100.0,3.97,6.03,1.03,3.99,6.49
2.65,2.28,10.2,6.71,15.0,5.83,3.45,8.15,97.5,4.15,6.68,1.03,3.92,6.6
2.67,2.38,9.6,7.21,15.0,4.76,3.57,7.76,90.0,4.41,6.37,0.97,3.89,6.49
2.9,2.36,10.38,7.32,15.0,4.49,3.71,6.81,90.0,4.4,6.7,0.97,3.92,6.74
2.97,2.29,10.45,7.19,15.0,4.71,3.54,6.33,87.83,4.28,6.55,0.91,3.91,6.99
2.96,2.26,9.87,7.41,15.0,4.79,3.8,5.99,90.0,4.1,7.03,0.92,3.83,6.99
2.95,2.55,9.81,6.89,15.0,4.74,3.7,5.88,90.0,4.11,6.5,0.97,4.02,6.99
2.99,2.88,10.0,6.72,15.0,4.52,3.78,5.49,90.0,3.98,6.44,0.91,4.63,6.99
3.02,3.41,10.01,7.03,15.95,4.38,3.58,5.39,90.0,3.81,6.52,0.89,5.1,6.99
2.97,3.06,9.95,7.21,15.5,4.04,4.29,6.42,96.25,3.76,6.46,0.88,4.87,7.13
2.97,2.86,10.13,7.32,16.0,4.49,4.1,6.55,100.0,4.03,6.44,0.88,4.84,7.24
2.92,2.93,10.03,7.63,15.75,4.49,3.93,6.11,100.0,4.17,6.61,1.0,4.81,7.24
2.93,3.05,10.08,7.69,15.5,4.49,4.11,6.1,100.0,4.15,6.63,1.13,4.56,7.24
2.95,2.96,9.67,7.46,15.14,5.63,4.34,6.58,108.64,4.22,6.78,1.19,4.91,7.24
3.17,3.07,9.7,7.02,15.0,5.63,4.4,7.58,110.0,4.31,6.7,1.29,5.11,7.42
3.33,2.99,9.56,6.86,15.75,5.5,4.44,8.58,100.0,4.44,6.88,1.36,4.97,7.49
3.33,2.99,9.33,6.79,16.0,6.3,4.58,8.65,100.0,4.61,7.34,1.36,4.82,7.49
3.32,2.86,9.32,7.02,16.25,6.53,4.37,7.93,100.0,4.87,7.39,1.35,5.01,7.49
3.73,2.96,9.12,7.35,17.14,6.3,4.49,7.46,100.0,4.68,7.26,1.32,6.07,7.99
3.9,2.99,9.03,7.92,18.14,6.0,4.44,7.57,106.82,4.62,7.42,1.35,6.79,7.99
3.89,3.1,9.53,8.04,19.5,5.14,4.36,7.36,110.0,4.78,7.01,1.39,6.87,8.49
3.78,2.74,9.41,9.26,19.5,5.44,4.52,7.66,114.0,5.54,6.4,1.22,6.68,7.45
3.89,2.98,9.38,8.81,18.71,6.04,4.79,7.22,115.11,5.48,6.41,1.17,7.58,7.02
4.06,3.02,9.09,8.21,18.99,6.44,4.92,7.79,111.25,4.67,8.29,1.45,7.98,8.24
3.81,3.02,8.04,9.2,23.12,6.75,5.38,7.42,112.0,4.89,7.24,1.58,7.08,6.93
3.86,3.26,9.53,9.71,23.57,7.02,5.24,7.78,107.91,4.9,6.92,1.58,7.2,6.76
3.89,3.31,11.36,10.41,23.71,7.35,5.19,7.93,103.0,4.94,6.74,1.74,7.44,6.73
4.21,3.2,9.83,8.46,21.45,6.55,5.05,7.97,106.45,5.02,8.21,2.2,8.16,7.83
4.34,3.23,9.87,8.5,20.36,7.78,5.18,8.22,110.0,5.24,9.1,2.2,8.36,8.21
4.17,3.36,9.93,8.89,23.0,6.95,5.2,7.95,111.0,5.58,8.57,2.25,8.24,8.5
4.26,3.82,10.33,10.24,22.13,6.66,5.04,7.96,110.0,5.21,7.99,2.0,8.21,8.13
4.27,3.9,10.39,10.61,20.66,6.5,4.98,7.94,110.0,4.85,8.86,1.84,8.25,8.25
4.22,4.01,10.39,10.47,22.11,6.44,5.05,7.83,122.5,5.05,9.3,1.75,8.35,8.34
4.08,4.38,11.98,9.6,21.23,6.98,5.18,7.69,130.0,4.72,8.29,1.72,8.51,8.62
3.97,4.42,13.82,8.76,20.17,6.24,5.22,7.16,137.5,5.38,8.8,1.7,8.81,8.98
3.89,4.26,14.26,9.62,23.95,7.13,5.29,7.49,140.0,5.54,9.35,1.64,9.2,9.33
3.92,4.14,14.79,9.42,25.61,6.71,5.29,7.95,140.0,5.27,8.41,1.62,10.26,9.51
4.02,4.17,15.75,9.68,25.05,6.57,5.24,8.44,140.0,5.48,9.12,1.62,10.82,11.78
4.12,4.33,16.09,9.86,25.0,6.27,5.58,8.4,150.0,5.84,9.11,1.65,10.87,11.49
4.06,4.2,14.88,10.64,27.18,6.24,6.24,9.02,160.0,6.04,9.41,1.65,10.19,11.49
4.09,4.23,15.34,10.06,28.0,6.39,6.67,9.59,179.05,6.86,10.17,1.67,9.81,11.49
4.08,4.21,15.43,11.76,27.43,7.23,6.73,9.76,180.0,6.97,10.21,1.7,9.82,11.49
4.08,4.25,15.15,12.13,26.55,7.15,6.95,9.78,180.0,7.1,10.98,1.76,9.5,11.49
4.0,4.17,14.49,11.43,26.0,7.66,6.93,9.44,180.0,8.04,10.7,1.77,8.86,11.49
4.06,4.22,14.34,11.31,25.59,6.9,6.74,9.2,180.0,8.18,10.42,1.76,8.82,11.49
4.19,4.23,14.7,11.37,26.02,7.91,6.67,8.95,198.18,8.01,10.61,1.75,9.14,11.14
4.48,4.19,16.86,11.25,26.0,11.22,6.8,9.66,220.0,7.5,12.14,1.78,8.99,10.97
4.78,4.54,15.36,11.95,27.0,11.87,6.93,8.6,220.0,6.86,10.53,1.8,8.9,11.42
5.11,4.53,17.0,11.77,27.0,12.26,7.34,9.04,220.0,7.38,10.91,1.85,9.59,11.79
5.27,4.54,17.5,9.47,21.74,13.67,6.84,9.65,213.75,8.28,11.61,1.85,8.53,11.82
5.46,4.76,16.47,9.24,17.41,14.0,6.79,10.11,215.83,9.67,9.67,1.9,8.74,12.26
4.96,4.62,9.1,9.24,15.61,14.95,6.68,9.29,218.73,8.24,11.22,1.95,6.93,11.42
5.36,4.73,8.96,7.9,14.75,14.33,6.66,9.24,220.0,8.08,5.49,1.85,6.62,11.5
5.07,5.0,8.91,7.92,14.94,12.95,6.41,9.43,220.0,8.71,5.32,1.84,6.76,11.26
5.16,5.15,8.96,7.92,15.87,12.18,6.34,10.09,220.0,8.93,5.3,1.9,6.78,10.97
5.15,5.18,8.99,7.92,15.87,12.43,6.3,10.19,220.0,9.0,5.38,1.73,6.55,11.01
5.04,4.89,9.07,7.92,15.87,13.99,6.54,11.54,220.0,8.99,5.44,1.44,6.46,11.0
5.46,4.86,8.8,7.92,15.87,13.77,6.47,10.78,220.0,8.88,6.16,1.6,6.85,11.29
